Date/Time,Temp_C,Dew_Point_Temp_C,Rel_Hum_pct,Wind_Speed_km/h,Visibility_km,Press_kPa,Weather,Year,Month,Day,Hour,Weekday,Season,Weather_Condition
2012-01-01 00:00:00,-1.8,-3.9,86,4,8.0,101.24,fog,2012,1,1,0,6,Winter,fog
2012-01-01 01:00:00,-1.8,-3.7,87,4,8.0,101.24,fog,2012,1,1,1,6,Winter,fog
2012-01-01 02:00:00,-1.8,-3.4,89,7,4.0,101.26,"freezing drizzle,fog",2012,1,1,2,6,Winter,foggy drizzle
2012-01-01 03:00:00,-1.5,-3.2,88,6,4.0,101.27,"freezing drizzle,fog",2012,1,1,3,6,Winter,foggy drizzle
2012-01-01 04:00:00,-1.5,-3.3,88,7,4.8,101.23,fog,2012,1,1,4,6,Winter,fog
2012-01-01 05:00:00,-1.4,-3.3,87,9,6.4,101.27,fog,2012,1,1,5,6,Winter,fog
2012-01-01 06:00:00,-1.5,-3.1,89,7,6.4,101.29,fog,2012,1,1,6,6,Winter,fog
2012-01-01 07:00:00,-1.4,-3.6,85,7,8.0,101.26,fog,2012,1,1,7,6,Winter,fog
2012-01-01 08:00:00,-1.4,-3.6,85,9,8.0,101.23,fog,2012,1,1,8,6,Winter,fog
2012-01-01 09:00:00,-1.3,-3.1,88,15,4.0,101.2,fog,2012,1,1,9,6,Winter,fog
2012-01-01 10:00:00,-1.0,-2.3,91,9,1.2,101.15,fog,2012,1,1,10,6,Winter,fog
2012-01-01 11:00:00,-0.5,-2.1,89,7,4.0,100.98,fog,2012,1,1,11,6,Winter,fog
2012-01-01 12:00:00,-0.2,-2.0,88,9,4.8,100.79,fog,2012,1,1,12,6,Winter,fog
2012-01-01 13:00:00,0.2,-1.7,87,13,4.8,100.58,fog,2012,1,1,13,6,Winter,fog
2012-01-01 14:00:00,0.8,-1.1,87,20,4.8,100.31,fog,2012,1,1,14,6,Winter,fog
2012-01-01 15:00:00,1.8,-0.4,85,22,6.4,100.07,fog,2012,1,1,15,6,Winter,fog
2012-01-01 16:00:00,2.6,-0.2,82,13,12.9,99.93,mostly cloudy,2012,1,1,16,6,Winter,mostly cloudy
2012-01-01 17:00:00,3.0,0.0,81,13,16.1,99.81,cloudy,2012,1,1,17,6,Winter,cloudy
2012-01-01 18:00:00,3.8,1.0,82,15,12.9,99.74,rain,2012,1,1,18,6,Winter,rain
2012-01-01 19:00:00,3.1,1.3,88,15,12.9,99.68,rain,2012,1,1,19,6,Winter,rain
2012-01-01 20:00:00,3.2,1.3,87,19,25.0,99.5,cloudy,2012,1,1,20,6,Winter,cloudy
2012-01-01 21:00:00,4.0,1.7,85,20,25.0,99.39,cloudy,2012,1,1,21,6,Winter,cloudy
2012-01-01 22:00:00,4.4,1.9,84,24,19.3,99.32,rain showers,2012,1,1,22,6,Winter,rain showers
2012-01-01 23:00:00,5.3,2.0,79,30,25.0,99.31,cloudy,2012,1,1,23,6,Winter,cloudy
2012-01-02 00:00:00,5.2,1.5,77,35,25.0,99.26,rain showers,2012,1,2,0,0,Winter,rain showers
2012-01-02 01:00:00,4.6,0.0,72,39,25.0,99.26,cloudy,2012,1,2,1,0,Winter,cloudy
2012-01-02 02:00:00,3.9,-0.9,71,32,25.0,99.26,mostly cloudy,2012,1,2,2,0,Winter,mostly cloudy
2012-01-02 03:00:00,3.7,-1.5,69,33,25.0,99.3,mostly cloudy,2012,1,2,3,0,Winter,mostly cloudy
2012-01-02 04:00:00,2.9,-2.3,69,32,25.0,99.26,mostly cloudy,2012,1,2,4,0,Winter,mostly cloudy
2012-01-02 05:00:00,2.6,-2.3,70,32,25.0,99.21,mostly cloudy,2012,1,2,5,0,Winter,mostly cloudy
2012-01-02 06:00:00,2.3,-2.6,70,26,25.0,99.18,mostly cloudy,2012,1,2,6,0,Winter,mostly cloudy
2012-01-02 07:00:00,2.0,-2.9,70,33,25.0,99.14,mostly cloudy,2012,1,2,7,0,Winter,mostly cloudy
2012-01-02 08:00:00,1.9,-3.3,68,39,24.1,99.14,mostly cloudy,2012,1,2,8,0,Winter,mostly cloudy
2012-01-02 09:00:00,1.8,-3.7,67,44,24.1,99.14,mostly cloudy,2012,1,2,9,0,Winter,mostly cloudy
2012-01-02 10:00:00,1.5,-4.1,66,43,24.1,99.18,mostly cloudy,2012,1,2,10,0,Winter,mostly cloudy
2012-01-02 11:00:00,2.2,-3.5,66,30,24.1,99.19,mostly cloudy,2012,1,2,11,0,Winter,mostly cloudy
2012-01-02 12:00:00,1.7,-6.2,56,48,24.1,99.21,mainly clear,2012,1,2,12,0,Winter,clear
2012-01-02 13:00:00,1.1,-6.5,57,37,24.1,99.27,mostly cloudy,2012,1,2,13,0,Winter,mostly cloudy
2012-01-02 14:00:00,1.1,-6.8,56,33,24.1,99.33,mostly cloudy,2012,1,2,14,0,Winter,mostly cloudy
